name,slug,value,date_of_information,ranking,region
"China","china","$31,230,000,000,000","2023",1,"East and Southeast Asia"
"United States","united-states","$24,977,000,000,000","2023",2,"North America"
"India","india","$13,173,000,000,000","2023",3,"South Asia"
"Russia","russia","$5,816,000,000,000","2023",4,"Central Asia"
"Japan","japan","$5,747,000,000,000","2023",5,"East and Southeast Asia"
"Germany","germany","$5,295,000,000,000","2023",6,"Europe"
"Brazil","brazil","$4,016,000,000,000","2023",7,"South America"
"Indonesia","indonesia","$3,906,000,000,000","2023",8,"East and Southeast Asia"
"France","france","$3,786,000,000,000","2023",9,"Europe"
"United Kingdom","united-kingdom","$3,728,000,000,000","2023",10,"Europe"
"Italy","italy","$3,145,000,000,000","2023",11,"Europe"
"Turkey (Turkiye)","turkey-turkiye","$2,953,000,000,000","2023",12,"Middle East"
"Mexico","mexico","$2,873,000,000,000","2023",13,"North America"
"Korea, South","korea-south","$2,615,000,000,000","2023",14,"East and Southeast Asia"
"Spain","spain","$2,279,000,000,000","2023",15,"Europe"
"Canada","canada","$2,242,000,000,000","2023",16,"North America"
"Egypt","egypt","$1,912,000,000,000","2023",17,"Africa"
"Saudi Arabia","saudi-arabia","$1,831,000,000,000","2023",18,"Middle East"
"Poland","poland","$1,628,000,000,000","2023",19,"Europe"
"Australia","australia","$1,588,000,000,000","2023",20,"Australia and Oceania"
"Thailand","thailand","$1,516,000,000,000","2023",21,"East and Southeast Asia"
"Iran","iran","$1,442,000,000,000","2023",22,"Middle East"
"Bangladesh","bangladesh","$1,413,000,000,000","2023",23,"South Asia"
"Vietnam","vietnam","$1,354,000,000,000","2023",24,"East and Southeast Asia"
"Pakistan","pakistan","$1,346,000,000,000","2023",25,"South Asia"
"Netherlands","netherlands","$1,277,000,000,000","2023",26,"Europe"
"Nigeria","nigeria","$1,275,000,000,000","2023",27,"Africa"
"Argentina","argentina","$1,234,000,000,000","2023",28,"South America"
"Malaysia","malaysia","$1,153,000,000,000","2023",29,"East and Southeast Asia"
