"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","DLY-TAVG-NORMAL","meas_flag_DLY-TAVG-NORMAL","comp_flag_DLY-TAVG-NORMAL","years_DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","meas_flag_DLY-TMAX-NORMAL","comp_flag_DLY-TMAX-NORMAL","years_DLY-TMAX-NORMAL","DLY-TMIN-NORMAL","meas_flag_DLY-TMIN-NORMAL","comp_flag_DLY-TMIN-NORMAL","years_DLY-TMIN-NORMAL","DLY-DUTR-NORMAL","meas_flag_DLY-DUTR-NORMAL","comp_flag_DLY-DUTR-NORMAL","years_DLY-DUTR-NORMAL","DLY-TAVG-STDDEV","meas_flag_DLY-TAVG-STDDEV","comp_flag_DLY-TAVG-STDDEV","years_DLY-TAVG-STDDEV","DLY-TMAX-STDDEV","meas_flag_DLY-TMAX-STDDEV","comp_flag_DLY-TMAX-STDDEV","years_DLY-TMAX-STDDEV","DLY-TMIN-STDDEV","meas_flag_DLY-TMIN-STDDEV","comp_flag_DLY-TMIN-STDDEV","years_DLY-TMIN-STDDEV","DLY-DUTR-STDDEV","meas_flag_DLY-DUTR-STDDEV","comp_flag_DLY-DUTR-STDDEV","years_DLY-DUTR-STDDEV","DLY-HTDD-NORMAL","meas_flag_DLY-HTDD-NORMAL","comp_flag_DLY-HTDD-NORMAL","years_DLY-HTDD-NORMAL","DLY-HTDD-BASE40","meas_flag_DLY-HTDD-BASE40","comp_flag_DLY-HTDD-BASE40","years_DLY-HTDD-BASE40","DLY-HTDD-BASE45","meas_flag_DLY-HTDD-BASE45","comp_flag_DLY-HTDD-BASE45","years_DLY-HTDD-BASE45","DLY-HTDD-BASE50","meas_flag_DLY-HTDD-BASE50","comp_flag_DLY-HTDD-BASE50","years_DLY-HTDD-BASE50","DLY-HTDD-BASE55","meas_flag_DLY-HTDD-BASE55","comp_flag_DLY-HTDD-BASE55","years_DLY-HTDD-BASE55","DLY-HTDD-BASE57","meas_flag_DLY-HTDD-BASE57","comp_flag_DLY-HTDD-BASE57","years_DLY-HTDD-BASE57","DLY-HTDD-BASE60","meas_flag_DLY-HTDD-BASE60","comp_flag_DLY-HTDD-BASE60","years_DLY-HTDD-BASE60","DLY-CLDD-NORMAL","meas_flag_DLY-CLDD-NORMAL","comp_flag_DLY-CLDD-NORMAL","years_DLY-CLDD-NORMAL","DLY-CLDD-BASE40","meas_flag_DLY-CLDD-BASE40","comp_flag_DLY-CLDD-BASE40","years_DLY-CLDD-BASE40","DLY-CLDD-BASE45","meas_flag_DLY-CLDD-BASE45","comp_flag_DLY-CLDD-BASE45","years_DLY-CLDD-BASE45","DLY-CLDD-BASE50","meas_flag_DLY-CLDD-BASE50","comp_flag_DLY-CLDD-BASE50","years_DLY-CLDD-BASE50","DLY-CLDD-BASE55","meas_flag_DLY-CLDD-BASE55","comp_flag_DLY-CLDD-BASE55","years_DLY-CLDD-BASE55","DLY-CLDD-BASE57","meas_flag_DLY-CLDD-BASE57","comp_flag_DLY-CLDD-BASE57","years_DLY-CLDD-BASE57","DLY-CLDD-BASE60","meas_flag_DLY-CLDD-BASE60","comp_flag_DLY-CLDD-BASE60","years_DLY-CLDD-BASE60","DLY-CLDD-BASE70","meas_flag_DLY-CLDD-BASE70","comp_flag_DLY-CLDD-BASE70","years_DLY-CLDD-BASE70","DLY-CLDD-BASE72","meas_flag_DLY-CLDD-BASE72","comp_flag_DLY-CLDD-BASE72","years_DLY-CLDD-BASE72","DLY-GRDD-BASE65","meas_flag_DLY-GRDD-BASE65","comp_flag_DLY-GRDD-BASE65","years_DLY-GRDD-BASE65","DLY-GRDD-BASE40","meas_flag_DLY-GRDD-BASE40","comp_flag_DLY-GRDD-BASE40","years_DLY-GRDD-BASE40","DLY-GRDD-BASE45","meas_flag_DLY-GRDD-BASE45","comp_flag_DLY-GRDD-BASE45","years_DLY-GRDD-BASE45","DLY-GRDD-BASE50","meas_flag_DLY-GRDD-BASE50","comp_flag_DLY-GRDD-BASE50","years_DLY-GRDD-BASE50","DLY-GRDD-BASE55","meas_flag_DLY-GRDD-BASE55","comp_flag_DLY-GRDD-BASE55","years_DLY-GRDD-BASE55","DLY-GRDD-BASE57","meas_flag_DLY-GRDD-BASE57","comp_flag_DLY-GRDD-BASE57","years_DLY-GRDD-BASE57","DLY-GRDD-BASE60","meas_flag_DLY-GRDD-BASE60","comp_flag_DLY-GRDD-BASE60","years_DLY-GRDD-BASE60","DLY-GRDD-BASE70","meas_flag_DLY-GRDD-BASE70","comp_flag_DLY-GRDD-BASE70","years_DLY-GRDD-BASE70","DLY-GRDD-BASE72","meas_flag_DLY-GRDD-BASE72","comp_flag_DLY-GRDD-BASE72","years_DLY-GRDD-BASE72","DLY-GRDD-TB4886","meas_flag_DLY-GRDD-TB4886","comp_flag_DLY-GRDD-TB4886","years_DLY-GRDD-TB4886","DLY-GRDD-TB5086","meas_flag_DLY-GRDD-TB5086","comp_flag_DLY-GRDD-TB5086","years_DLY-GRDD-TB5086","DLY-PRCP-PCTALL-GE001HI","meas_flag_DLY-PRCP-PCTALL-GE001HI","comp_flag_DLY-PRCP-PCTALL-GE001HI","years_DLY-PRCP-PCTALL-GE001HI","DLY-PRCP-PCTALL-GE010HI","meas_flag_DLY-PRCP-PCTALL-GE010HI","comp_flag_DLY-PRCP-PCTALL-GE010HI","years_DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE025HI","meas_flag_DLY-PRCP-PCTALL-GE025HI","comp_flag_DLY-PRCP-PCTALL-GE025HI","years_DLY-PRCP-PCTALL-GE025HI","DLY-PRCP-PCTALL-GE050HI","meas_flag_DLY-PRCP-PCTALL-GE050HI","comp_flag_DLY-PRCP-PCTALL-GE050HI","years_DLY-PRCP-PCTALL-GE050HI","DLY-PRCP-PCTALL-GE100HI","meas_flag_DLY-PRCP-PCTALL-GE100HI","comp_flag_DLY-PRCP-PCTALL-GE100HI","years_DLY-PRCP-PCTALL-GE100HI","DLY-PRCP-PCTALL-GE200HI","meas_flag_DLY-PRCP-PCTALL-GE200HI","comp_flag_DLY-PRCP-PCTALL-GE200HI","years_DLY-PRCP-PCTALL-GE200HI","DLY-PRCP-PCTALL-GE400HI","meas_flag_DLY-PRCP-PCTALL-GE400HI","comp_flag_DLY-PRCP-PCTALL-GE400HI","years_DLY-PRCP-PCTALL-GE400HI","DLY-PRCP-PCTALL-GE600HI","meas_flag_DLY-PRCP-PCTALL-GE600HI","comp_flag_DLY-PRCP-PCTALL-GE600HI","years_DLY-PRCP-PCTALL-GE600HI","DLY-PRCP-25PCTL","meas_flag_DLY-PRCP-25PCTL","comp_flag_DLY-PRCP-25PCTL","years_DLY-PRCP-25PCTL","DLY-PRCP-50PCTL","meas_flag_DLY-PRCP-50PCTL","comp_flag_DLY-PRCP-50PCTL","years_DLY-PRCP-50PCTL","DLY-PRCP-75PCTL","meas_flag_DLY-PRCP-75PCTL","comp_flag_DLY-PRCP-75PCTL","years_DLY-PRCP-75PCTL","MTD-PRCP-NORMAL","meas_flag_MTD-PRCP-NORMAL","comp_flag_MTD-PRCP-NORMAL","years_MTD-PRCP-NORMAL","YTD-PRCP-NORMAL","meas_flag_YTD-PRCP-NORMAL","comp_flag_YTD-PRCP-NORMAL","years_YTD-PRCP-NORMAL"
"USW00014819","01-01"," 41.7861"," -87.7522"," 186.5","CHICAGO MIDWAY AP, IL US","01","01","99","    28.6"," ","R","12","    35.0"," ","R","12","    22.2"," ","R","15","    12.8"," ","R","12","    11.0"," ","R","12","    11.3"," ","R","12","    11.6"," ","R","15","     6.0"," ","R","12","    36.4"," ","R","12","    12.2"," ","R","12","    16.8"," ","R","12","    21.5"," ","R","12","    26.5"," ","R","12","    28.4"," ","R","12","    31.4"," ","R","12","     0.0"," ","R","12","     0.8"," ","R","12","     0.3"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.8"," ","R","12","     0.3"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.4"," ","R","12","     0.3"," ","R","12","    31.2"," ","S","15","    14.2"," ","S","15","     7.1"," ","S","15","     4.1"," ","S","15","     1.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.23"," ","S","15","    0.06"," ","S","15","    0.06"," ","S","15"
"USW00014819","01-02"," 41.7861"," -87.7522"," 186.5","CHICAGO MIDWAY AP, IL US","01","02","99","    28.4"," ","R","12","    34.8"," ","R","12","    22.0"," ","R","15","    12.9"," ","R","12","    11.0"," ","R","12","    11.2"," ","R","12","    11.6"," ","R","15","     6.0"," ","R","12","    36.6"," ","R","12","    12.4"," ","R","12","    16.9"," ","R","12","    21.7"," ","R","12","    26.6"," ","R","12","    28.6"," ","R","12","    31.6"," ","R","12","     0.0"," ","R","12","     0.8"," ","R","12","     0.3"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.8"," ","R","12","     0.3"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.4"," ","R","12","     0.3"," ","R","12","    31.0"," ","S","15","    14.1"," ","S","15","     7.1"," ","S","15","     4.1"," ","S","15","     1.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.23"," ","S","15","    0.13"," ","S","15","    0.13"," ","S","15"
"USW00014819","01-03"," 41.7861"," -87.7522"," 186.5","CHICAGO MIDWAY AP, IL US","01","03","99","    28.2"," ","R","12","    34.7"," ","R","12","    21.8"," ","R","15","    12.9"," ","R","12","    11.0"," ","R","12","    11.2"," ","R","12","    11.6"," ","R","15","     6.0"," ","R","12","    36.8"," ","R","12","    12.6"," ","R","12","    17.1"," ","R","12","    21.8"," ","R","12","    26.8"," ","R","12","    28.8"," ","R","12","    31.8"," ","R","12","     0.0"," ","R","12","     0.8"," ","R","12","     0.3"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.8"," ","R","12","     0.3"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.3"," ","R","12","     0.2"," ","R","12","    31.0"," ","S","15","    14.0"," ","S","15","     7.1"," ","S","15","     4.0"," ","S","15","     1.2"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.23"," ","S","15","    0.19"," ","S","15","    0.19"," ","S","15"
"USW00014819","01-04"," 41.7861"," -87.7522"," 186.5","CHICAGO MIDWAY AP, IL US","01","04","99","    28.1"," ","R","12","    34.6"," ","R","12","    21.6"," ","R","15","    13.0"," ","R","12","    11.0"," ","R","12","    11.2"," ","R","12","    11.6"," ","R","15","     6.0"," ","R","12","    36.9"," ","R","12","    12.7"," ","R","12","    17.2"," ","R","12","    22.0"," ","R","12","    26.9"," ","R","12","    28.9"," ","R","12","    31.9"," ","R","12","     0.0"," ","R","12","     0.8"," ","R","12","     0.3"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.8"," ","R","12","     0.3"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.3"," ","R","12","     0.2"," ","R","12","    30.9"," ","S","15","    13.9"," ","S","15","     7.1"," ","S","15","     4.0"," ","S","15","     1.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.23"," ","S","15","    0.25"," ","S","15","    0.25"," ","S","15"
"USW00014819","01-05"," 41.7861"," -87.7522"," 186.5","CHICAGO MIDWAY AP, IL US","01","05","99","    27.9"," ","R","12","    34.4"," ","R","12","    21.4"," ","R","15","    13.0"," ","R","12","    11.0"," ","R","12","    11.2"," ","R","12","    11.7"," ","R","15","     5.9"," ","R","12","    37.1"," ","R","12","    12.8"," ","R","12","    17.4"," ","R","12","    22.1"," ","R","12","    27.1"," ","R","12","    29.1"," ","R","12","    32.1"," ","R","12","     0.0"," ","R","12","     0.8"," ","R","12","     0.3"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.8"," ","R","12","     0.3"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.3"," ","R","12","     0.2"," ","R","12","    30.8"," ","S","15","    13.8"," ","S","15","     7.1"," ","S","15","     3.9"," ","S","15","     1.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.23"," ","S","15","    0.31"," ","S","15","    0.31"," ","S","15"
"USW00014819","01-06"," 41.7861"," -87.7522"," 186.5","CHICAGO MIDWAY AP, IL US","01","06","99","    27.8"," ","R","12","    34.3"," ","R","12","    21.2"," ","R","15","    13.1"," ","R","12","    11.0"," ","R","12","    11.1"," ","R","12","    11.7"," ","R","15","     5.9"," ","R","12","    37.2"," ","R","12","    12.9"," ","R","12","    17.5"," ","R","12","    22.3"," ","R","12","    27.2"," ","R","12","    29.2"," ","R","12","    32.2"," ","R","12","     0.0"," ","R","12","     0.7"," ","R","12","     0.3"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.7"," ","R","12","     0.3"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.3"," ","R","12","     0.2"," ","R","12","    30.7"," ","S","15","    13.7"," ","S","15","     7.0"," ","S","15","     3.9"," ","S","15","     1.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.23"," ","S","15","    0.37"," ","S","15","    0.37"," ","S","15"
"USW00014819","01-07"," 41.7861"," -87.7522"," 186.5","CHICAGO MIDWAY AP, IL US","01","07","99","    27.6"," ","R","12","    34.2"," ","R","12","    21.1"," ","R","15","    13.1"," ","R","12","    11.0"," ","R","12","    11.1"," ","R","12","    11.7"," ","R","15","     5.9"," ","R","12","    37.4"," ","R","12","    13.0"," ","R","12","    17.6"," ","R","12","    22.4"," ","R","12","    27.4"," ","R","12","    29.4"," ","R","12","    32.4"," ","R","12","     0.0"," ","R","12","     0.7"," ","R","12","     0.2"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.7"," ","R","12","     0.2"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.3"," ","R","12","     0.2"," ","R","12","    30.6"," ","S","15","    13.6"," ","S","15","     7.0"," ","S","15","     3.8"," ","S","15","     1.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.23"," ","S","15","    0.43"," ","S","15","    0.43"," ","S","15"
"USW00014819","01-08"," 41.7861"," -87.7522"," 186.5","CHICAGO MIDWAY AP, IL US","01","08","99","    27.5"," ","R","12","    34.1"," ","R","12","    20.9"," ","R","15","    13.2"," ","R","12","    11.1"," ","R","12","    11.1"," ","R","12","    11.8"," ","R","15","     5.9"," ","R","12","    37.5"," ","R","12","    13.1"," ","R","12","    17.7"," ","R","12","    22.6"," ","R","12","    27.5"," ","R","12","    29.5"," ","R","12","    32.5"," ","R","12","     0.0"," ","R","12","     0.6"," ","R","12","     0.2"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.6"," ","R","12","     0.2"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.3"," ","R","12","     0.2"," ","R","12","    30.6"," ","S","15","    13.5"," ","S","15","     7.0"," ","S","15","     3.8"," ","S","15","     1.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.23"," ","S","15","    0.49"," ","S","15","    0.49"," ","S","15"
"USW00014819","01-09"," 41.7861"," -87.7522"," 186.5","CHICAGO MIDWAY AP, IL US","01","09","99","    27.3"," ","R","12","    34.0"," ","R","12","    20.7"," ","R","15","    13.3"," ","R","12","    11.1"," ","R","12","    11.1"," ","R","12","    11.8"," ","R","15","     5.9"," ","R","12","    37.7"," ","R","12","    13.2"," ","R","12","    17.9"," ","R","12","    22.7"," ","R","12","    27.7"," ","R","12","    29.7"," ","R","12","    32.7"," ","R","12","     0.0"," ","R","12","     0.5"," ","R","12","     0.2"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.5"," ","R","12","     0.2"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.2"," ","R","12","     0.2"," ","R","12","    30.5"," ","S","15","    13.4"," ","S","15","     7.0"," ","S","15","     3.7"," ","S","15","     0.9"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.23"," ","S","15","    0.55"," ","S","15","    0.55"," ","S","15"
"USW00014819","01-10"," 41.7861"," -87.7522"," 186.5","CHICAGO MIDWAY AP, IL US","01","10","99","    27.2"," ","R","12","    33.8"," ","R","12","    20.5"," ","R","15","    13.3"," ","R","12","    11.1"," ","R","12","    11.2"," ","R","12","    11.9"," ","R","15","     5.9"," ","R","12","    37.8"," ","R","12","    13.3"," ","R","12","    18.0"," ","R","12","    22.9"," ","R","12","    27.9"," ","R","12","    29.8"," ","R","12","    32.8"," ","R","12","     0.0"," ","R","12","     0.5"," ","R","12","     0.2"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.5"," ","R","12","     0.2"," ","R","12","     0.1"," ","R","12","     0.0","X","R","12","     0.0","X","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.0"," ","R","12","     0.2"," ","R","12","     0.2"," ","R","12","    30.5"," ","S","15","    13.3"," ","S","15","     7.0"," ","S","15","     3.7"," ","S","15","     0.9"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.03"," ","S","15","    0.08"," ","S","15","    0.23"," ","S","15","    0.61"," ","S","15","    0.61"," ","S","15"
